44,蝙蝠侠：黑暗骑士,剧情 动作 科幻 犯罪 惊悚 ,克里斯蒂安·贝尔 希斯·莱杰 艾伦·艾克哈特 迈克尔·凯恩 玛吉·吉伦哈尔 加里·奥德曼 摩根·弗里曼 莫尼克·加布里埃拉·库尔内 罗恩·迪恩 基里安·墨菲 黄经汉 内斯特·卡博内尔 埃里克·罗伯茨 里特奇·科斯特 安东尼·迈克尔·豪尔 基斯·斯扎拉巴基克 柯林·麦克法兰 约书亚·哈尔托 美琳达·麦格劳 内森·甘宝 迈克尔·维约 迈克尔·斯托扬诺夫 威廉·斯米利 丹尼·高德林 迈克尔·加·怀特 马修·奥尼尔 威廉·菲德内尔 欧鲁米基·欧拉乌米 格雷格·比姆 爱利克·赫尔曼 毕崔斯·罗森 文森佐·尼克力 陈冠希 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,美国 英国 
45,天堂电影院,剧情 爱情 ,安东内拉·阿蒂利 恩佐·卡拉瓦勒 艾萨·丹尼埃利 里奥·故罗塔 马克·莱昂纳蒂 普佩拉·玛奇奥 阿格妮丝·那诺 莱奥波多·特里耶斯泰 萨瓦特利·卡西欧 塔诺·希玛罗萨 尼古拉·迪·平托 罗伯塔·蕾娜 尼诺·戴罗佐 雅克·贝汉 布丽吉特·佛西 菲利普·努瓦雷 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg,意大利 法国 
46,指环王3：王者无敌,剧情 动作 奇幻 冒险 ,维果·莫腾森 伊莱贾·伍德 西恩·奥斯汀 丽芙·泰勒 伊恩·麦克莱恩 奥兰多·布鲁姆 凯特·布兰切特 米兰达·奥图 安迪·瑟金斯 雨果·维文 多米尼克·莫纳汉 比利·博伊德 马尔顿·索克斯 卡尔·厄本 克里斯托弗·李 约翰·瑞斯-戴维斯 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,美国 新西兰 
47,活着,剧情 历史 家庭 ,葛优 巩俐 姜武 牛犇 郭涛 张璐 倪大红 肖聪 董飞 刘天池 董立范 黄宗洛 刘燕瑾 李连义 杨同顺 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg,中国大陆 香港 
48,两杆大烟枪,剧情 喜剧 犯罪 ,杰森·弗莱明 德克斯特·弗莱彻 尼克·莫兰 杰森·斯坦森 斯蒂文·麦金托什 斯汀 维尼·琼斯 ,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,英国 
49,窃听风暴,剧情 悬疑 ,乌尔里希·穆埃 马蒂娜·格德克 塞巴斯蒂安·科赫 乌尔里希·图库尔 托马斯·蒂梅 ,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,德国 
50,饮食男女,剧情 家庭 ,郎雄 杨贵媚 吴倩莲 王渝文 张艾嘉 归亚蕾 赵文瑄 陈昭荣 陈捷文 卢金城 唐语谦 洪其德 王瑞 杜满生 王玨 陈妤 左正芬 许敬民 聂卓晶 丁仲 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,台湾 美国 
51,素媛,剧情 ,薛耿求 严志媛 李来 金海淑 金相浩 罗美兰 杨真诚 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,韩国 
52,教父2,剧情 犯罪 ,阿尔·帕西诺 罗伯特·杜瓦尔 黛安·基顿 罗伯特·德尼罗 约翰·凯泽尔 塔莉娅·夏尔 李·斯特拉斯伯格 迈克尔·V·格佐 G·D·斯普拉德林 理查德·布赖特 加斯通·莫辛 汤姆·罗斯奎 布鲁诺·柯比 弗兰克·西维罗 弗朗西丝卡·德·萨维奥 ,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,美国 
53,美国往事,犯罪 剧情 ,罗伯特·德尼罗 詹姆斯·伍兹 伊丽莎白·麦戈文 乔·佩西 波特·杨 塔斯黛·韦尔德 特里特·威廉斯 丹尼·爱罗 理查德·布赖特 詹姆斯·海登 威廉·弗西斯 达兰妮·弗鲁格 拉里·拉普 理查德·弗让吉 罗伯特·哈珀 詹妮弗·康纳利 ,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,意大利 美国 
54,狩猎,剧情 ,麦斯·米科尔森 托玛斯·博·拉森 安妮卡·韦德科普 拉丝·弗格斯托姆 苏西·沃德 安妮·路易丝·哈辛 拉斯·兰特 亚历山德拉·拉帕波特 ,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,丹麦 瑞典 
55,无人知晓,剧情 ,柳乐优弥 北浦爱 木村飞影 清水萌萌子 韩英惠 江原由希子 串田和美 冈元夕纪子 Takako Tate 加濑亮 村野友希 田中庆太 木村佑一 远藤宪一 寺岛进 平泉成 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,日本 
56,攻壳机动队2：无罪,剧情 科幻 动画 ,田中敦子 大塚明夫 山寺宏一 竹中直人 榊原良子 大木民夫 ,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910832189.jpg,日本 
57,地下,剧情 战争 ,米基·马诺伊洛维奇 拉扎尔·里斯托夫斯基 米里亚娜·约科维奇 斯拉夫科·斯提马科 恩斯特·施托兹 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1833776334.jpg,法国 南斯拉夫联盟共和国 德国 
58,熊的故事,剧情 ,巴特熊 Youk the Bear 切基·卡尤 杰克·华莱士 安德烈·拉孔布 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2454268056.jpg,法国 美国 
59,寻子遇仙记,喜剧 剧情 家庭 ,查理·卓别林 杰基·库根 ,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2332976198.jpg,美国 
60,南海十三郎,剧情 传记 爱情 ,谢君豪 潘灿良 苏玉华 梁汉威 吴绮莉 黄霑 周志辉 ,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2328424489.jpg,香港 
61,生之欲,剧情 ,志村乔 千秋实 藤原釜足 金子信雄 中村伸郎 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2079076441.jpg,日本 
62,天堂回信,剧情 儿童 ,石晨 李丁 肖雄 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1090024531.jpg,中国大陆 
63,鳄鱼波鞋走天涯,剧情 儿童 ,布拉德·兰弗洛 约瑟夫·梅泽罗 安娜贝拉·莎拉 戴安娜·斯卡尔维德 Aeryk Egan 约翰·卡洛·林奇 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2188484411.jpg,美国 
64,剃头匠,剧情 传记 ,靖奎 ,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2186918733.jpg,中国大陆 
65,女人步上楼梯时,剧情 ,高峰秀子 森雅之 团令子 仲代达矢 加东大介 中村雁治郎 小泽荣太郎 ,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1805354637.jpg,日本 
